Comment,Designator,Footprint
,MX80,MXOnly-1U-NoLED
,MX81,MXOnly-1U-NoLED
,MX82,MXOnly-1U-NoLED
,MX83,MXOnly-1U-NoLED
,MX84,MXOnly-1U-NoLED
,MX85,MXOnly-1U-NoLED
,MX86,MXOnly-1U-NoLED
,MX87,RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm
,MX89,MXOnly-1U-NoLED
,MX90,MXOnly-1U-NoLED
,MX91,MXOnly-1U-NoLED
,MX92,MXOnly-2U-NoLED
,MX93,MXOnly-1U-NoLED
,MX95,MXOnly-1U-NoLED
,MX96,MXOnly-1U-NoLED
,MX97,MXOnly-1U-NoLED
,MX98,MXOnly-1U-NoLED
,MX99,MXOnly-2U-VerticalStabilizers-NoLED
,MX1,MXOnly-1U-NoLED
,MX6,MXOnly-1U-NoLED
,MX72,MXOnly-1U-NoLED
,D101,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm
10,"R_CAPS1,R_NUMLK1",R_0805_2012Metric
,MX94,MXOnly-1U-NoLED
100nF,C_RESET1,C_0402_1005Metric
,MX100,MXOnly-2U-VerticalStabilizers-NoLED
,MX88,MXOnly-1U-NoLED
,"D102,D103",LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder
10uF,"C_IOVDD0,C_AVDD0,C_DREG2",C_0402_1005Metric
0.1uf,"C_IOVDD_0,C_IOVDD_5,C_DREG1,C_IOVDD_3",C_0402_1005Metric
500,R_BADGE1,R_0805_2012Metric
100,"D5,D9,D74,D64,D29,D60,D75,D70,D65,D83,D47,D93,D23,D87,D27,D8,D13,D16,D45,D36,D67,D54,D71,D73,D28,D80,D98,D18,D32,D43,D46,D78,D38,D12,D11,D81,D37,D66,D30,D86,D39,D40,D59,D42,D44,D52,D69,D48,D10,D51,D3,D7,D2,D24,D58,D41,D34,D17,D96,D97,D50,D20,D14,D77,D25,D49,D89,D19,D94,D95,D76,D72,D61,D85,D82,D26,D1,D15,D57,D6,D53,D55,D63,D31,D100,D56,D33,D92,D91,D79,D99,D62,D22,D90,D68,D84,D35,D4,D21,D88",D_SOD-123
1uf,"C_VREGO1,C_DEC1",C_0402_1005Metric
10nf,"C_AVDD_0,C_AVDD_1",C_0402_1005Metric
5.1k,"R_CC2,R_CC1",R_0805_2012Metric
EFM32HG322F64G-C-QFP48,U1,QFP48
15,"R_D-1,R_D+1",R_0805_2012Metric
,FB_VBUS1,L_0805_2012Metric
,J1,USB_C_Receptacle_GCT_USB4085
4.7uF,C_VREGI1,C_0402_1005Metric
100,R_RESET1,R_0805_2012Metric
4.7k,R_DMPU1,R_0805_2012Metric
,SW_RESET1,PushButton_6x6mm_TH_Pretty
